item_id,name,author,create_time,item_categories,item_keywords,city,price,image,description,item_click_last3m,item_cart_last3m,item_buy_last3m,item_forward_last3m,,,,,,
I0001,11·18,[丹]索尔薇·巴勒,2025/9/4 17:13,文学,随笔;外国文学,南京,87.45,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/1.jpg,穿越时空的文学奇旅，探索存在与记忆的终极谜题,21,3,0,1,,,,,,
I0002,12种智慧,[美]奇普·康利(Chip Conley),2025/4/30 17:13,生活,成长,郑州,44.8,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/2.jpg,突破年龄桎梏，重塑人生下半场的无限可能,15,3,1,0,,,,,,
I0003,13 67: 陳浩基作品2,陳浩基,2025/5/21 17:13,文学,小说,广州,350,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/3.jpg,数字暗藏人生迷局，警探故事照见命运真相,0,0,0,0,,,,,,
I0004,1984,[英] 乔治·奥威尔,2025/5/18 17:13,文学,小说;外国文学;经典;名著,深圳,37.13,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/4.jpg,一部反乌托邦的预言，揭示了极权之下人性的挣扎与觉醒,35,7,3,0,,,,,,
I0005,1988：我想和这个世界谈谈,韩寒,2025/9/20 17:13,文学,中国文学,深圳,25,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/5.jpg,韩寒首部公路小说，与时代对话，探寻个体与世界的联结,5,0,0,0,,,,,,
I0006,19年间谋杀小叙,那多,2025/5/5 17:13,文学,小说;中国文学,杭州,59,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/6.jpg,跨越十九年的致命通信，串联起谋杀、宿命与不可能的爱恋,22,4,0,1,,,,,,
I0007,1Q84 BOOK1: 4月-6月,[日]村上春树,2025/5/14 17:13,文学,外国文学,杭州,98.07,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/7.jpg,少女青豆与天吾的双线命运，在神秘1Q84年交织，颠覆现实,19,2,0,0,,,,,,
I0008,2001：太空漫游: 《太空漫游四部曲》第1部,[英] 阿瑟·克拉克,2025/11/26 17:13,文学,小说,上海,54.72,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/8.jpg,一部启迪了刘慈欣与NASA的科幻圣经，拓展人类对宇宙认知,10,3,2,0,,,,,,
I0009,2181序曲,顾适,2025/5/9 17:13,文学,小说,成都,58,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/9.jpg,雨果奖提名作家顾适，以科幻之笔书写女性命运与未来,11,1,0,0,,,,,,
I0010,24个比利,[美] 丹尼尔·凯斯,2025/6/18 17:13,文学,外国文学,深圳,76.77,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/10.jpg,24重人格的离奇人生，揭示人类意识最深处的秘密,9,2,0,0,,,,,,
I0011,3D经络穴位图解,查炜,2025/4/26 17:13,文学,随笔,上海,59.8,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/11.jpg,经络穴位入门宝典，一图读懂人体健康地图,12,2,0,1,,,,,,
I0012,40岁，开始学做教育,万玮,2025/6/28 17:13,生活,教育,义乌,39.8,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/12.jpg,四十岁教师的人生重启指南，规划更精彩的下半场,18,1,0,1,,,,,,
I0013,5岁前的工作,（日）丘山亚未,2025/6/13 17:13,生活,成长;教育,义乌,39.9,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/13.jpg,让孩子在生活小事中收获成就感，爱上动手与成长,39,4,1,0,,,,,,
I0014,777,[日] 伊坂幸太郎,2025/9/21 17:13,文学,小说;外国文学,郑州,77.94,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/14.jpg,伊坂杀手宇宙新篇，荒诞酒店上演致命生存游戏,24,7,3,2,,,,,,
I0015,77街的神龛: 美国自然历史博物馆里物的灵韵与人的故事,薛茗,2025/7/22 17:13,文学,随笔,杭州,88,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/15.jpg,在纽约热门博物馆，发现展品背后不为人知的故事,13,2,2,1,,,,,,
I0016,82年生的金智英,[韩]赵南柱,2025/5/13 17:13,文学,小说,杭州,10.08,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/16.jpg,直面女性成长之痛，引发百万人共鸣的勇气之书,13,4,1,2,,,,,,
I0017,82年生的金智英,[韩] 赵南柱,2025/7/27 17:13,生活,成长,西安,63.81,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/17.jpg,倾听五百封来信，照见万千女性心声,19,3,2,1,,,,,,
I0018,8号出口,[日]川村元气,2025/8/3 17:13,文学,小说,广州,19.04,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/18.jpg,在诡异循环中寻找生路，体验源自现象级游戏的沉浸式恐惧,13,5,0,0,,,,,,
I0019,99%诱拐,[日] 冈岛二人,2025/11/14 17:13,文学,小说,北京,86.33,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/19.jpg,高科技谜局，挑战逻辑极限，冈岛二人封神之作,8,1,0,0,,,,,,
I0020,A Dream of Red Mansions（全四册）,曹雪芹,2025/8/4 17:13,文学,中国文学,成都,84.53,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/20.jpg,一部描绘封建家族兴衰与爱情悲剧的史诗巨著,8,0,0,0,,,,,,
I0021,A Hunter-Gatherer's Guide to the 21st Century: Evolution and the Challenges of Modern Life,Heather Heying、Bret Weinstein,2025/4/4 17:13,文学,随笔,成都,28,https://haut-campus-knowledge-sharing-and-trading-platform.oss-cn-beijing.aliyuncs.com/book-images-2026/21.jpg,文明崛起于征服与想象，一部颠覆认知的人类新史,11,1,0,0,,,,,,
