user_id,user_categories,user_keywords,age,gender,user_click_last3m,user_cart_last3m,user_buy_last3m,user_forward_last3m
U00001,生活;文学,教育;中国文学,32,M,7,0,0,0
U00002,生活;文学,经典;中国文学;小说;外国文学,51,F,12,3,0,0
U00003,文学;生活,经典;名著,34,M,12,2,0,0
U00004,生活;文学,成长;名著;小说,20,F,9,3,0,1
U00005,生活,名著;随笔;散文,56,M,10,3,1,0
U00006,生活;文学,成长;外国文学,15,M,10,0,0,0
U00007,文学;生活,中国文学;外国文学,33,M,8,1,0,0
U00008,生活;文学,成长;教育;散文,40,M,9,3,0,1
U00009,生活,教育;随笔;名著,33,F,7,1,1,0
U00010,文学;生活,成长;散文,48,F,12,1,0,1
U00011,文学;生活,教育;散文;中国文学,40,M,15,3,1,1
U00012,文学;生活,散文;小说;外国文学,33,F,4,1,0,0
U00013,文学,中国文学;教育,51,M,8,0,0,0
U00014,文学;生活,经典;教育;中国文学,63,F,11,2,1,2
U00015,文学;生活,名著;经典;随笔;散文,45,F,14,2,1,2
U00016,生活;文学,小说;经典;教育;名著,21,M,12,0,0,1
U00017,文学,教育;中国文学;成长;小说,39,M,14,3,0,0
U00018,文学;生活,名著;中国文学;教育;成长,61,F,12,1,0,1
U00019,文学;生活,散文;名著;中国文学;成长,39,M,15,4,0,0
U00020,文学,经典;外国文学;成长;名著,56,M,15,3,1,0
U00021,生活,散文;名著;外国文学;小说,38,M,9,3,1,0
U00022,生活,外国文学;经典,36,M,7,1,0,1
U00023,文学;生活,中国文学;名著;小说;教育,32,F,5,1,0,0
U00024,文学;生活,随笔;名著;成长,26,M,11,2,0,0
U00025,生活,外国文学;中国文学;名著;教育,17,F,3,0,0,0
U00026,文学;生活,教育;外国文学;经典,46,F,13,2,0,0
U00027,生活;文学,散文;经典,63,F,14,4,1,1
U00028,生活;文学,中国文学;名著;教育;成长,65,F,10,2,1,0
U00029,生活;文学,成长;外国文学;小说;随笔,40,M,9,2,1,0
U00030,生活;文学,小说;经典;中国文学,15,F,8,1,0,0
U00031,文学,散文;教育;名著,23,F,13,0,0,0
U00032,生活;文学,经典;小说,56,M,7,0,0,0
U00033,生活;文学,经典;小说;外国文学,42,M,16,5,1,0
U00034,生活;文学,中国文学;名著;成长;小说,62,M,6,0,0,0
U00035,生活;文学,经典;小说;名著,58,M,11,0,0,0
U00036,生活,散文;外国文学;名著,36,M,6,4,2,0
U00037,生活;文学,外国文学;中国文学;成长,37,F,12,1,1,2
U00038,生活;文学,外国文学;散文,26,M,9,2,0,1
U00039,生活,名著;外国文学;小说;中国文学,53,M,11,2,1,0
U00040,文学,小说;教育,19,M,11,1,0,0
U00041,生活;文学,教育;随笔;经典;外国文学,15,M,11,1,0,0
U00042,生活,小说;经典,59,F,6,0,0,0
U00043,生活;文学,外国文学;名著;教育,36,M,9,3,0,0
U00044,生活,名著;成长;散文,17,F,11,0,0,0
U00045,生活;文学,散文;成长,17,F,7,1,0,0
U00046,文学;生活,成长;小说;教育,44,M,6,2,0,0
U00047,生活;文学,成长;经典,39,F,10,1,0,0
U00048,文学;生活,经典;名著;随笔;教育,65,M,2,1,0,0
U00049,文学;生活,教育;中国文学;小说,60,F,11,4,1,0
U00050,文学,经典;名著;教育,28,F,8,0,0,1
U00051,文学;生活,外国文学;散文;随笔;经典,48,F,11,2,0,1
U00052,生活;文学,散文;名著,29,M,12,1,0,0
U00053,文学,小说;散文,15,F,13,1,1,1
U00054,文学;生活,小说;中国文学;散文,45,F,4,1,0,0
U00055,生活;文学,散文;教育,45,M,8,1,1,0
U00056,文学,名著;随笔;经典;成长,23,M,8,3,0,0
U00057,文学;生活,随笔;经典;散文;名著,35,M,9,0,0,0
U00058,文学;生活,名著;小说;散文,23,M,9,1,0,0
U00059,文学;生活,名著;散文,51,F,5,1,0,0
U00060,生活,教育;名著;散文;成长,48,F,14,4,0,1
U00061,文学;生活,中国文学;教育,60,F,12,3,1,0
U00062,文学;生活,教育;中国文学;散文;小说,50,M,15,4,0,0
U00063,生活;文学,小说;成长;教育;中国文学,44,M,7,1,0,0
U00064,生活;文学,小说;经典,49,M,11,2,2,0
U00065,文学;生活,成长;小说;散文;随笔,49,M,5,0,0,0
U00066,生活,外国文学;散文;教育;经典,50,F,6,0,0,0
U00067,文学;生活,名著;成长;随笔;中国文学,63,F,12,3,1,1
U00068,生活;文学,小说;散文;中国文学,47,M,4,1,0,0
U00069,生活,中国文学;外国文学;随笔,43,M,11,2,0,0
U00070,文学;生活,经典;名著;随笔,56,M,18,4,1,0
U00071,生活;文学,随笔;名著;外国文学;成长,28,F,13,1,0,0
U00072,文学;生活,散文;外国文学;经典;成长,41,F,9,1,1,1
U00073,文学,随笔;成长;散文;教育,44,F,12,1,0,1
U00074,文学;生活,散文;小说;教育;成长,41,M,9,0,0,0
U00075,生活;文学,外国文学;随笔;小说;名著,17,M,9,1,0,1
U00076,文学;生活,成长;名著;小说;外国文学,52,F,14,2,1,0
U00077,文学;生活,名著;成长,17,F,6,0,0,0
U00078,生活,名著;经典;外国文学;中国文学,52,M,8,0,0,0
U00079,文学;生活,成长;散文;小说;外国文学,28,M,7,1,0,0
U00080,生活;文学,成长;散文,46,M,8,2,0,0
U00081,文学,中国文学;外国文学;经典;随笔,41,F,10,3,0,0
U00082,文学,名著;教育,23,F,10,2,0,0
U00083,文学,散文;中国文学;小说,48,M,5,2,0,0
U00084,生活;文学,经典;随笔,52,M,6,1,1,1
U00085,生活;文学,经典;散文;中国文学,43,F,13,2,0,0
U00086,生活;文学,小说;中国文学;名著;随笔,25,F,13,2,1,0
U00087,生活;文学,成长;散文,39,F,17,2,0,0
U00088,文学;生活,成长;随笔;名著;小说,39,M,15,1,0,0
U00089,生活,外国文学;名著;成长,35,F,8,1,0,0
U00090,文学,经典;随笔;散文;教育,26,F,8,2,0,0
U00091,文学;生活,中国文学;教育,46,M,8,1,1,0
U00092,生活,小说;成长;随笔;教育,25,F,8,0,0,0
U00093,文学,经典;小说;随笔,27,F,6,3,1,1
U00094,文学;生活,名著;中国文学;成长,27,F,12,3,2,0
U00095,生活;文学,名著;教育;中国文学,65,M,6,0,0,0
U00096,文学;生活,教育;小说,64,M,12,3,0,0
U00097,生活;文学,经典;随笔,26,M,4,0,0,0
U00098,文学;生活,成长;名著;随笔,32,F,8,2,2,0
U00099,生活,经典;随笔;教育;成长,42,F,5,0,0,0
U00100,生活;文学,中国文学;名著;小说;散文,46,F,9,0,0,0
U00101,文学;生活,外国文学;经典;随笔;散文,42,F,7,1,1,0
U00102,生活;文学,小说;外国文学;教育;中国文学,49,M,11,1,0,1
U00103,生活;文学,教育;中国文学;成长;经典,46,F,7,2,0,0
U00104,生活;文学,名著;中国文学;散文,61,M,8,2,1,1
U00105,生活,散文;成长;随笔;经典,65,M,11,1,0,0
U00106,生活;文学,名著;随笔;教育,17,F,8,0,0,0
U00107,生活,外国文学;随笔;教育,39,M,7,4,3,2
U00108,生活;文学,成长;名著;随笔,56,F,10,1,1,1
U00109,文学;生活,小说;中国文学,16,F,5,1,1,0
U00110,生活;文学,外国文学;随笔;中国文学;名著,36,M,17,2,0,0
U00111,文学;生活,教育;中国文学,42,M,9,1,0,0
U00112,文学;生活,散文;外国文学;小说,19,F,10,3,1,0
U00113,生活;文学,名著;外国文学;成长;随笔,59,M,8,1,0,0
U00114,文学;生活,随笔;散文;外国文学,22,F,11,2,1,1
U00115,生活;文学,名著;小说;外国文学,64,M,4,0,0,0
U00116,文学,教育;小说;随笔,34,M,7,0,0,0
U00117,生活;文学,外国文学;中国文学;经典;教育,57,M,13,3,0,0
U00118,文学,外国文学;散文,40,M,5,1,0,1
U00119,生活;文学,教育;随笔,47,M,7,1,0,0
U00120,生活,外国文学;经典,22,M,7,2,0,0
U00121,生活;文学,外国文学;随笔,27,M,10,3,0,0
U00122,生活;文学,经典;教育,46,M,13,4,0,0
U00123,生活;文学,小说;随笔;教育,44,M,7,2,1,0
U00124,文学;生活,中国文学;教育;成长,64,F,13,2,0,0
U00125,生活,散文;外国文学;成长;教育,17,M,9,2,0,0
U00126,生活;文学,中国文学;教育;外国文学;随笔,55,F,12,2,0,0
U00127,文学;生活,随笔;经典,60,F,12,3,1,1
U00128,生活;文学,经典;成长,19,F,12,3,0,0
U00129,生活,随笔;中国文学;教育;经典,18,M,7,4,2,1
U00130,文学,外国文学;散文;教育;随笔,55,F,14,1,1,0
U00131,文学;生活,外国文学;随笔;经典;小说,43,M,2,1,0,0
U00132,文学;生活,中国文学;随笔;教育;成长,32,M,14,0,0,0
U00133,生活,小说;经典,62,F,9,2,1,0
U00134,生活;文学,成长;经典;散文;外国文学,58,F,16,3,1,0
U00135,生活,教育;名著;随笔,31,F,10,2,0,1
U00136,生活;文学,随笔;经典;中国文学,60,F,11,1,0,0
U00137,生活;文学,随笔;成长;经典,50,M,11,1,1,1
U00138,生活;文学,中国文学;外国文学;名著;经典,33,M,10,1,0,0
U00139,文学;生活,随笔;经典;外国文学,44,M,9,4,1,0
U00140,生活;文学,随笔;中国文学;小说;教育,20,F,12,2,0,1
U00141,文学,随笔;外国文学;经典;成长,60,M,9,0,0,0
U00142,文学,随笔;名著;散文,38,F,7,1,0,0
U00143,文学;生活,中国文学;外国文学;随笔;教育,39,M,7,1,0,1
U00144,生活;文学,散文;中国文学,61,M,13,2,0,0
U00145,文学,名著;散文;小说;教育,28,F,12,2,0,0
U00146,生活,小说;随笔;中国文学,31,M,11,0,0,1
U00147,生活;文学,教育;小说,31,F,9,2,1,1
